Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
STSite	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	STSitePosterior_fornix	-5.89339800053888e-05	297	80	0.973100491783308	1
STSite	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae	STSitePosterior_fornix	-0.000141706585237963	297	108	0.978829961336099	1
STSite	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila	STSitePosterior_fornix	-9.20818830614536e-05	297	91	0.978960622126072	1
STSite	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_wadsworthensis	STSitePosterior_fornix	-8.6153067056378e-05	297	53	0.983083037278162	1
STSite	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae	STSitePosterior_fornix	-8.61041527932477e-05	297	106	0.983581006641453	1
STSite	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii	STSitePosterior_fornix	-6.76982906249656e-05	297	110	0.990879167344362	1
STSite	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_jensenii	STSiteStool	4.88467678861052e-05	297	34	0.994630941994451	1
STSite	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus	STSitePosterior_fornix	-2.48810579714878e-05	297	90	0.995636652476143	1
STSite	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	STSitePosterior_fornix	-8.35108306581935e-06	297	116	0.997023915988291	1
STSite	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	STSitePosterior_fornix	-7.47332501647722e-18	297	90	0.999999999999988	1
STSite	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_siraeum	STSitePosterior_fornix	6.40570715698047e-18	297	87	0.999999999999999	1
